O/C,H/C,Ash,Temperature,Time,Solid,oil_yield,char_yield,aqueous_yield,gas_yield,oil_HHV,char_HHV,oil_C,char_C
0.448,1.704,6,300,120,20,45,7,,,15.98,,,
0.482,1.707,7,300,120,20,36,6,,,12.71,,,
0.627,1.699,11,300,120,20,31,11,,,11.1,,,
0.446,1.171,23.6,250,5,22,23.6,,,,8.1,,0.171,
0.446,1.171,23.6,250,60,22,33,,,,10.99,,0.236,
0.446,1.171,23.6,300,5,22,33.5,,,,11.38,,0.004,
0.446,1.171,23.6,300,60,22,26.2,,,,9.43,,0.188,
0.446,1.171,23.6,340,5,22,32.5,,,,12.3,,0.235,
0.446,1.171,23.6,340,60,22,30.9,,,,11.17,,0.229,
0.434,1.659,8,200,60,21,27,,,,10.53,,0.201,
0.434,1.659,8,250,60,21,38,,,,14.44,,0.285,
0.434,1.659,8,300,60,21,32,,,,12.16,,0.241,
0.434,1.659,8,350,60,21,43,,,,16.77,,0.327,
0.434,1.659,8,400,60,21,40,,,,15.6,,0.307,
0.612,1.722,5.3,350,60,10,17.6,5,67,5,6.39,,0.126,
0.529,1.663,3.6,350,60,10,17.1,11.9,63.1,11.9,6.13,,0.125,
0.99,2.46,0,350,60,10,7.1,5.3,85,5.3,2.36,,0.049,
0.624,1.985,0,350,60,10,8,17.7,69.9,17.7,2.72,,0.056,
1.304,2.058,0,350,60,10,5.3,22.1,61.1,22.1,1.81,,0.039,
1.081,1.87,0.1,350,60,10,8.8,20.3,61.9,20.3,3.05,,0.063,
0.324,1.804,0,350,60,10,78.8,4.4,12.4,4.4,29.06,,0.541,
0.459,1.62,7,350,60,10,32.9,1.6,53.5,1.6,11.56,,0.233,
0.333,1.661,26.4,350,60,10,25.4,1.3,44.3,1.3,8.76,,0.173,
0.484,1.778,24.4,350,60,10,16.1,3.3,54.2,3.3,5.73,,0.117,
0.355,1.465,7.6,350,60,10,27,2.5,51.5,2.5,9.93,,0.198,
0.489,1.685,7.8,200,60,8,21.2,31.2,34.5,5.9,7.14,,0.147,
0.489,1.685,7.8,225,60,8,27.7,16.2,38.5,9.4,9.43,,0.195,
0.489,1.685,7.8,250,60,8,34.1,14.4,34.4,12,11.93,,0.248,
0.489,1.685,7.8,275,60,8,37.1,12.2,27.7,14.7,13.11,,0.274,
0.489,1.685,7.8,300,60,8,43,10.9,19.5,17.5,15.38,,0.322,
0.489,1.685,7.8,325,60,8,38,11.3,20.4,18.2,13.52,,0.283,
0.489,1.685,7.8,350,60,8,42.9,8.4,16.4,20.6,15.69,,0.325,
0.489,1.685,7.8,375,60,8,43.5,6.9,14.4,30.6,15.75,,0.328,
0.489,1.685,7.8,400,60,8,34.4,9.5,9.1,34.6,12.69,,0.263,
0.489,1.685,7.8,200,5,8,9.2,51.6,30.5,0.8,2.93,,0.062,
0.489,1.685,7.8,225,5,8,11.2,45.3,30.5,4.1,3.98,,0.082,
0.489,1.685,7.8,250,5,8,24.6,20.6,38.3,7.1,8.37,,0.176,
0.489,1.685,7.8,275,5,8,32.4,18.7,35.4,8.5,10.97,,0.231,
0.489,1.685,7.8,300,5,8,37.3,14.3,28.1,13.9,13.03,,0.27,
0.489,1.685,7.8,325,5,8,37.5,12.4,29.9,15.6,12.98,,0.273,
0.489,1.685,7.8,350,5,8,41.8,11.5,20.4,18.4,14.53,,0.305,
0.489,1.685,7.8,375,5,8,45.5,8.5,14,22.4,16.12,,0.339,
0.489,1.685,7.8,400,5,8,36.6,10.8,14.1,30.3,13.1,,0.273,
