O/C,H/C,N/C,Ash ,Temperature,Time,HR,char_db,char_C,char_HHV,char_N
0.606628,1.23804,0.008069,8.6,500,60,10,35.26,0.279964,10.17251,
0.878193,1.666512,0.010948,2.9,500,60,10,29.05,0.188622,6.19927,
0.797635,1.638907,0.017893,5.8,500,60,10,29.8,0.201746,8.65988,
0.899579,1.575843,0.008828,5.27,500,60,10,33.6,0.213965,6.31344,0.002117
0.892423,1.68101,0.007818,0.24,500,60,10,30.24,0.197558,6.084288,0.002268
0.954724,1.889764,0.00225,6.7,800,60,5,23.5,,,
0.91866,1.837321,0.002051,0.3,800,60,5,19.1,,,
0.394198,1.167235,0.010239,3.9,800,60,5,44.9,,,
0.573353,1.413174,0.008554,4.9,800,60,5,32.7,,,
0.654517,1.429158,0.00528,2.7,800,60,5,25.6,,,
0.850962,1.788462,0.006181,0.9,800,60,5,25.7,,,
0.651767,1.621622,0.037422,4.3,800,60,5,25.9,,,
0.607988,1.491124,0.015216,0.9,800,60,5,24.6,,,
0.689674,1.53913,0.018634,4.4,800,60,5,30.9,,,
0.669255,1.515528,0.005324,0.4,800,60,5,27.4,,,
0.740239,1.561822,0.005578,0.3,800,60,5,21.3,,,
0.720839,1.546028,0.009368,1.15,700,10,5,29.92063,0.250689,8.383762,0.00293
0.720839,1.546028,0.009368,1.15,700,10,10,21.98413,0.187576,6.210516,0.002195
0.720839,1.546028,0.009368,1.15,700,10,20,20.07937,0.16375,5.574032,0.002178
0.720839,1.546028,0.009368,1.15,700,10,30,18.1746,0.141885,4.959849,0.001998
0.720839,1.546028,0.009368,1.15,300,10,10,49.3,0.324751,12.53699,0.004358
0.720839,1.546028,0.009368,1.15,400,10,10,30.7,0.221514,8.43022,0.00279
0.720839,1.546028,0.009368,1.15,500,10,10,26,0.197319,7.319,0.002569
0.720839,1.546028,0.009368,1.15,600,10,10,24.3,0.195329,7.03971,0.00235
0.720839,1.546028,0.009368,1.15,700,10,10,23.6,0.199601,6.97616,0.002395
0.552201,0.635534,0,7.54,500,60,10,37.07,0.25053,10.19425,
0.726366,1.386555,0.014406,3.6,300,60,10,49.54,0.327905,,
0.726366,1.386555,0.014406,3.6,400,60,10,30.95,0.231166,,
0.726366,1.386555,0.014406,3.6,450,60,10,29.42,0.230329,,
0.726366,1.386555,0.014406,3.6,500,60,10,27.15,,,
0.726366,1.386555,0.014406,3.6,550,60,10,26.21,0.219299,,
0.726366,1.386555,0.014406,3.6,600,60,10,25.92,,,
0.726366,1.386555,0.014406,3.6,700,60,10,25.1,0.215684,,
0.678148,1.61596,0.033666,2.9,400,30,10,35.8299,0.269974,10.26113,
0.678148,1.61596,0.033666,2.9,500,30,10,22.6243,0.172944,6.419905,
0.678148,1.61596,0.033666,2.9,600,30,10,21.0707,0.162192,5.727296,
0.744482,1.560701,0.035428,11.7,500,30,10,27.2847,0.18422,6.463983,
0.717438,1.235477,0.006734,1.2,500,30,10,22.3288,0.193275,6.80327,
